Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1128,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
1129,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
1130,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
1131,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
1132,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
1133,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
1134,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
1135,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
1136,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
1137,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
1138,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
1139,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
1140,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
1141,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
1142,Common Cold,Sneezing, Runny nose, Sore throat, Cough
1143,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
1144,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
1145,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
1146,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
1147,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
1148,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
1149,Dermatitis,Itching, Redness, Swelling, Skin irritation
1150,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
1151,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
1152,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
1153,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
1154,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
1155,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
1156,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
1157,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
1158,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
1159,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
1160,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
1161,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
1162,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
1163,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
1164,Gout,Joint pain, Redness, Swelling, Warmth
1165,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
1166,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
1167,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
1168,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
1169,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
1170,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
1171,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
1172,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
1173,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
1174,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
1175,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
1176,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
1177,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
1178,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
1179,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
1180,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
1181,Impetigo,Red sores, Itching, Blisters, Skin crusting
1182,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
1183,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
1184,Influenza,Fever, Chills, Body aches, Sore throat
1185,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
1186,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
1187,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
1188,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
1189,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
1190,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
1191,Malaria,High fever, Chills, Sweating, Muscle pain
1192,Measles,Fever, Rash, Cough, Runny nose
1193,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
1194,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
1195,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
1196,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
1197,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
1198,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
1199,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
1200,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
1201,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
1202,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
1203,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
1204,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
1205,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
1206,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
1207,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
1208,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
1209,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
1210,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
1211,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
1212,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
1213,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
1214,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
1215,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
1216,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
1217,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
1218,Typhoid,High fever, Weakness, Abdominal pain, Rash
1219,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
1220,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
1221,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
1222,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
1223,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
1224,AIDS,Fever, Fatigue, Weight loss, Frequent infections
1225,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
1226,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
1227,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
1228,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
1229,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
1230,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
1231,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
1232,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
1233,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
1234,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
1235,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
1236,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
1237,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
1238,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
1239,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
1240,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
1241,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
1242,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
1243,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
1244,Common Cold,Sneezing, Runny nose, Sore throat, Cough
1245,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
1246,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
1247,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
1248,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
1249,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
1250,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
1251,Dermatitis,Itching, Redness, Swelling, Skin irritation
1252,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
1253,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
1254,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
1255,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
1256,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
1257,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
1258,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
1259,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
1260,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
1261,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
1262,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
1263,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
1264,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
1265,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
1266,Gout,Joint pain, Redness, Swelling, Warmth
1267,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
1268,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
1269,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
1270,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
1271,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
1272,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
1273,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
1274,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
1275,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
1276,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
1277,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
1278,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
1279,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
1280,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
1281,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
1282,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
1283,Impetigo,Red sores, Itching, Blisters, Skin crusting
1284,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
1285,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
1286,Influenza,Fever, Chills, Body aches, Sore throat
1287,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
1288,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
1289,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
1290,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
1291,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
1292,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
1293,Malaria,High fever, Chills, Sweating, Muscle pain
1294,Measles,Fever, Rash, Cough, Runny nose
1295,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
1296,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
1297,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
1298,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
1299,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
1300,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
1301,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
1302,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
1303,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
1304,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
1305,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
1306,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
1307,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
1308,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
1309,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
1310,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
1311,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
1312,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
1313,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
1314,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
1315,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
1316,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
1317,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
1318,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
1319,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
1320,Typhoid,High fever, Weakness, Abdominal pain, Rash
1321,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
1322,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
1323,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
1324,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
1325,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
1326,AIDS,Fever, Fatigue, Weight loss, Frequent infections
1327,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
1328,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
1329,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
1330,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
1331,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
1332,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
1333,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
1334,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
1335,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
1336,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
1337,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
1338,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
1339,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
1340,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
1341,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
1342,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
1343,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
1344,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
1345,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
1346,Common Cold,Sneezing, Runny nose, Sore throat, Cough
1347,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
1348,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
1349,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
1350,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
1351,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
1352,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
1353,Dermatitis,Itching, Redness, Swelling, Skin irritation
1354,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
1355,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
1356,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
1357,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
1358,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
1359,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
1360,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
1361,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
1362,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
1363,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
1364,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
1365,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
1366,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
1367,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
1368,Gout,Joint pain, Redness, Swelling, Warmth
1369,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
1370,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
1371,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
1372,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
1373,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
1374,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
1375,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
1376,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
1377,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
1378,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
1379,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
1380,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
1381,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
1382,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
1383,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
1384,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
1385,Impetigo,Red sores, Itching, Blisters, Skin crusting
1386,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
1387,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
1388,Influenza,Fever, Chills, Body aches, Sore throat
1389,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
1390,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
1391,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
